IdProceso,Recurso,Estado,Prioridad,FechaAlta,Descripcion
1001,SISTEMAS,COMPLETADO,Media,2024-05-01,Migración de base de datos terminada
1002,SISTEMAS,PENDIENTE,Alta,2024-05-02,Revisión de logs de seguridad
1003,REDES,ERROR,Alta,2024-05-02,Fallo en el nodo principal
1004,REDES,PROCESANDO,Baja,2024-05-03,Actualización de firmware routers
1005,SOPORTE,COMPLETADO,Baja,2024-05-03,Ticket de usuario resuelto
1006,DESARROLLO,PENDIENTE,Alta,2024-05-04,Deploy de nueva API
1007,SISTEMAS,ERROR,Media,2024-05-04,Espacio en disco insuficiente
1008,DESARROLLO,PROCESANDO,Alta,2024-05-05,Fix de bug en login
1009,SEGURIDAD,COMPLETADO,Alta,2024-05-05,Escaneo de vulnerabilidades
1010,REDES,PENDIENTE,Media,2024-05-06,Configuración de nueva VLAN
1011,SOPORTE,ERROR,Baja,2024-05-06,Fallo en impresora planta 2
1012,SISTEMAS,COMPLETADO,Media,2024-05-07,Reinicio preventivo servidores
1013,DESARROLLO,PENDIENTE,Baja,2024-05-07,Maquetación de nuevo dashboard
1014,SEGURIDAD,PROCESANDO,Alta,2024-05-08,Mitigación de ataque DDoS
1015,REDES,COMPLETADO,Media,2024-05-08,Cambio de cableado estructurado
1016,SOPORTE,PROCESANDO,Baja,2024-05-09,Instalación de software remoto
1017,SISTEMAS,PENDIENTE,Alta,2024-05-09,Backup de volumen crítico
1018,DESARROLLO,ERROR,Media,2024-05-10,Error 500 en entorno de pruebas
1019,SEGURIDAD,COMPLETADO,Baja,2024-05-10,Actualización de antivirus
1020,REDES,PENDIENTE,Alta,2024-05-11,Caída selectiva de repetidores
1021,SISTEMAS,PROCESANDO,Media,2024-05-11,Mantenimiento de clúster
1022,SOPORTE,COMPLETADO,Baja,2024-05-12,Configuración de VPN usuario
1023,DESARROLLO,PENDIENTE,Media,2024-05-12,Optimización de consultas SQL
1024,SEGURIDAD,ERROR,Alta,2024-05-13,Intento de acceso no autorizado
1025,REDES,COMPLETADO,Baja,2024-05-13,Pruebas de latencia fibra
1026,SISTEMAS,PENDIENTE,Media,2024-05-14,Limpieza de archivos temporales
1027,SOPORTE,PROCESANDO,Alta,2024-05-14,Recuperación de cuenta directiva
1028,DESARROLLO,COMPLETADO,Baja,2024-05-15,Refactorización de helpers
1029,SEGURIDAD,PENDIENTE,Media,2024-05-15,Auditoría de contraseñas
1030,REDES,ERROR,Alta,2024-05-16,Saturación de ancho de banda
1031,SISTEMAS,COMPLETADO,Baja,2024-05-16,Informe de rendimiento mensual
1032,SOPORTE,PENDIENTE,Media,2024-05-17,Duda sobre uso de Microsoft Teams
1033,DESARROLLO,PROCESANDO,Alta,2024-05-17,Integración con pasarela de pagos
1034,SEGURIDAD,COMPLETADO,Media,2024-05-18,Parche de día cero aplicado
1035,REDES,PENDIENTE,Baja,2024-05-18,Inventario de switches
1036,SISTEMAS,ERROR,Alta,2024-05-19,Kernel panic en nodo secundario
1037,SOPORTE,COMPLETADO,Media,2024-05-19,Cambio de tóner realizado
1038,DESARROLLO,PENDIENTE,Baja,2024-05-20,Documentación técnica API
1039,SEGURIDAD,PROCESANDO,Alta,2024-05-20,Análisis de malware detectado
1040,REDES,COMPLETADO,Media,2024-05-21,Revisión de firewall perimetral
1041,SISTEMAS,PENDIENTE,Baja,2024-05-21,Solicitud de cuota de disco
1042,SOPORTE,ERROR,Alta,2024-05-22,Pantallazo azul en contabilidad
1043,DESARROLLO,COMPLETADO,Media,2024-05-22,Cierre de tickets Jira sprint
1044,SEGURIDAD,PENDIENTE,Baja,2024-05-23,Revisión de permisos carpetas
1045,REDES,PROCESANDO,Alta,2024-05-23,Ampliación de cobertura WiFi
1046,SISTEMAS,COMPLETADO,Media,2024-05-24,Sincronización AD finalizada
1047,SOPORTE,PENDIENTE,Baja,2024-05-24,Problema con el ratón inalámbrico
1048,DESARROLLO,ERROR,Alta,2024-05-25,Fallo crítico en pipeline CI/CD
1049,SEGURIDAD,COMPLETADO,Media,2024-05-25,Certificados SSL renovados
1050,REDES,PENDIENTE,Baja,2024-05-26,Limpieza de racks en CPD
1051,SISTEMAS,PROCESANDO,Alta,2024-05-26,Migración a nube pública
1052,SOPORTE,COMPLETADO,Media,2024-05-27,Configuración de móvil nuevo
1053,DESARROLLO,PENDIENTE,Baja,2024-05-27,Cambio de textos en UI
1054,SEGURIDAD,ERROR,Alta,2024-05-28,Alerta de ransomware en sandbox
1055,REDES,COMPLETADO,Media,2024-05-28,Velocidad de red verificada
1056,SISTEMAS,PENDIENTE,Baja,2024-05-29,Consulta de backups antiguos
1057,SOPORTE,PROCESANDO,Alta,2024-05-29,Error en base de datos local
1058,DESARROLLO,COMPLETADO,Media,2024-05-30,Subida de versión estable
1059,SEGURIDAD,PENDIENTE,Baja,2024-05-30,Verificación de logs de acceso
1060,REDES,ERROR,Alta,2024-05-31,Corte de fibra externa
1061,SISTEMAS,COMPLETADO,Media,2024-05-31,Actualización de BIOS servidores
1062,SOPORTE,PENDIENTE,Baja,2024-06-01,Solicitud de teclado mecánico
1063,DESARROLLO,PROCESANDO,Alta,2024-06-01,Creación de microservicio auth
1064,SEGURIDAD,COMPLETADO,Media,2024-06-02,Cifrado de discos completado
1065,REDES,PENDIENTE,Baja,2024-06-02,Estadísticas de uso mensual
1066,SISTEMAS,ERROR,Alta,2024-06-03,Fallo de fuente de alimentación
1067,SOPORTE,COMPLETADO,Media,2024-06-03,Asistencia en videoconferencia
1068,DESARROLLO,PENDIENTE,Baja,2024-06-04,Arreglo de estilos CSS
1069,SEGURIDAD,PROCESANDO,Alta,2024-06-04,Investigación de IP sospechosa
1070,REDES,COMPLETADO,Media,2024-06-05,Actualización de firmware APs
1071,SISTEMAS,PENDIENTE,Baja,2024-06-05,Reasignación de licencias Office
1072,SOPORTE,ERROR,Alta,2024-06-06,PC no arranca tras actualización
1073,DESARROLLO,COMPLETADO,Media,2024-06-06,Merge de rama principal
1074,SEGURIDAD,PENDIENTE,Baja,2024-06-07,Revisión de política de BYOD
1075,REDES,PROCESANDO,Alta,2024-06-07,Sustitución de switch core
1076,SISTEMAS,COMPLETADO,Media,2024-06-08,Reducción de tamaño de logs
1077,SOPORTE,PENDIENTE,Baja,2024-06-08,Pérdida de acceso a carpeta red
1078,DESARROLLO,ERROR,Alta,2024-06-09,Excepción no controlada en producción
1079,SEGURIDAD,COMPLETADO,Media,2024-06-09,Limpieza de cuentas inactivas
1080,REDES,PENDIENTE,Baja,2024-06-10,Etiquetado de puertos en CPD
1081,SISTEMAS,PROCESANDO,Alta,2024-06-10,Instalación de parches de OS
1082,SOPORTE,COMPLETADO,Media,2024-06-11,Desbloqueo de usuario AD
1083,DESARROLLO,PENDIENTE,Baja,2024-06-11,Corrección de erratas manual
1084,SEGURIDAD,ERROR,Alta,2024-06-12,Detección de sniffing en red
1085,REDES,COMPLETADO,Media,2024-06-12,Configuración de túnel IPsec
1086,SISTEMAS,PENDIENTE,Baja,2024-06-13,Duda sobre política de retención
1087,SOPORTE,PROCESANDO,Alta,2024-06-13,Recuperación de archivos borrados
1088,DESARROLLO,COMPLETADO,Media,2024-06-14,Tests unitarios pasados
1089,SEGURIDAD,PENDIENTE,Baja,2024-06-14,Validación de backups físicos
1090,REDES,ERROR,Alta,2024-06-15,Bucle de red detectado en planta 1
